image1_url,image2_url
https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/gt/main_50_data/Main_gt_Room17.gif,https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/atiss/main_50_data/Main_atiss_Room17.gif
https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/gt/main_50_data/Main_gt_Room5.gif,https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/atiss/main_50_data/Main_atiss_Room5.gif
https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/gt/main_50_data/Main_gt_Room2.gif,https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/atiss/main_50_data/Main_atiss_Room2.gif
https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/gt/main_50_data/Main_gt_Room11.gif,https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/atiss/main_50_data/Main_atiss_Room11.gif
https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/gt/main_50_data/Main_gt_Room36.gif,https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/atiss/main_50_data/Main_atiss_Room36.gif
https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/gt/main_50_data/Main_gt_Room6.gif,https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/atiss/main_50_data/Main_atiss_Room6.gif
https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/gt/main_50_data/Main_gt_Room38.gif,https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/atiss/main_50_data/Main_atiss_Room38.gif
https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/gt/main_50_data/Main_gt_Room23.gif,https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/atiss/main_50_data/Main_atiss_Room23.gif
https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/gt/main_50_data/Main_gt_Room19.gif,https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/atiss/main_50_data/Main_atiss_Room19.gif
https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/gt/main_50_data/Main_gt_Room0.gif,https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/atiss/main_50_data/Main_atiss_Room0.gif
https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/gt/main_50_data/Main_gt_Room16.gif,https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/atiss/main_50_data/Main_atiss_Room16.gif
https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/gt/main_50_data/Main_gt_Room18.gif,https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/atiss/main_50_data/Main_atiss_Room18.gif
https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/gt/main_50_data/Main_gt_Room35.gif,https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/atiss/main_50_data/Main_atiss_Room35.gif
https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/gt/main_50_data/Main_gt_Room29.gif,https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/atiss/main_50_data/Main_atiss_Room29.gif
https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/gt/main_50_data/Main_gt_Room20.gif,https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/atiss/main_50_data/Main_atiss_Room20.gif
https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/gt/main_50_data/Main_gt_Room30.gif,https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/atiss/main_50_data/Main_atiss_Room30.gif
https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/gt/main_50_data/Main_gt_Room27.gif,https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/atiss/main_50_data/Main_atiss_Room27.gif
https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/gt/main_50_data/Main_gt_Room48.gif,https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/atiss/main_50_data/Main_atiss_Room48.gif
https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/gt/main_50_data/Main_gt_Room14.gif,https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/atiss/main_50_data/Main_atiss_Room14.gif
https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/gt/main_50_data/Main_gt_Room46.gif,https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/atiss/main_50_data/Main_atiss_Room46.gif
https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/gt/main_50_data/Main_gt_Room43.gif,https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/atiss/main_50_data/Main_atiss_Room43.gif
https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/gt/main_50_data/Main_gt_Room31.gif,https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/atiss/main_50_data/Main_atiss_Room31.gif
https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/gt/main_50_data/Main_gt_Room24.gif,https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/atiss/main_50_data/Main_atiss_Room24.gif
https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/gt/main_50_data/Main_gt_Room1.gif,https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/atiss/main_50_data/Main_atiss_Room1.gif
https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/gt/main_50_data/Main_gt_Room32.gif,https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/atiss/main_50_data/Main_atiss_Room32.gif
https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/gt/main_50_data/Main_gt_Room7.gif,https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/atiss/main_50_data/Main_atiss_Room7.gif
https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/gt/main_50_data/Main_gt_Room26.gif,https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/atiss/main_50_data/Main_atiss_Room26.gif
https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/gt/main_50_data/Main_gt_Room47.gif,https://github.com/paulguerrero/layout_metric_userstudy_data/raw/main/main_50/atiss/main_50_data/Main_atiss_Room47.gif
